Category,Subcategory,Fast_Food,Pub_Bar,Gambling,Tobacco,Leisure
Shops & Amenities,Film Developers,,,,,
Shops & Amenities,Financial Advisors,,,,,
Home & Garden,Fireplaces & Mantelpieces,,,,,
Food & Drink,Fish & Chip Shops,1,,,,
Shops & Amenities,Fishing & Angling Equipment,,,,,
Food & Drink,Fishmongers,,,,,
Home & Garden,Floorcoverings,,,,,
Shops & Amenities,Florists,,,,,
Non Retail,Footfall Point Properties,,,,,
Shops & Amenities,Funeral Directors and Monumental Masons,,,,,
Home & Garden,Furnishers,,,,,
Home & Garden,Furniture - Built-In & Fitted,,,,,
Home & Garden,Furniture - Repairing & Restoring,,,,,
Home & Garden,Furniture - Reproduction,,,,,
Home & Garden,Furniture Shops,,,,,
Shops & Amenities,Games Shops,,,,,
Taxis & Transport,Garage Services,,,,,
Home & Garden,Garden & Patio Furniture,,,,,
Home & Garden,Garden Centres,,,,,
Home & Garden,Gas Log & Coal Fires,,,,,
Home & Garden,Gas Suppliers,,,,,
Shops & Amenities,Gift Shops,,,,,
Home & Garden,Glass Merchants,,,,,
Home & Garden,Glaziers,,,,,
Shops & Amenities,Goldsmiths & Silversmiths,,,,,
Events & Attractions,Golf Courses,,,,,
Shops & Amenities,Golf Equipment & Supplies,,,,,
Food & Drink,Gourmet Food,,,,,
Non Retail,Government Building,,,,,
Food & Drink,Greengrocers & Fruitsellers,,,,,
Food & Drink,Grocers,,,,,
Shops & Amenities,Grocers,,,,,
Hotels,Guesthouses,,,,,
Shops & Amenities,Guns & Sporting Equipment,,,,,
Shops & Amenities,Haberdashers,,,,,
Health & Beauty,Hair & Beauty Salons,,,,,
Health & Beauty,Hairdressers,,,,,
Health & Beauty,Hairpieces & Wigs,,,,,
Food & Drink,Halal Butchers,,,,,
Shops & Amenities,Halls,,,,,
Hotels,Halls of Residence,,,,,
Home & Garden,Hardware Merchants & Ironmongers,,,,,
Clothes & Fashion,Hat Shops,,,,,
Health & Beauty,Health & Beauty Shops,,,,,
Health & Beauty,Health Centre,,,,,1
Health & Beauty,Health Clinics,,,,,
Health & Beauty,Health Clubs,,,,,
Health & Beauty,Health Foods & Products,,,,,
Health & Beauty,Hearing Aids,,,,,
Taxis & Transport,Heliports,,,,,
Health & Beauty,Herbalists,,,,,
Shops & Amenities,Hire Centres,,,,,
Hotels,Holiday Accommodation & Parks,,,,,
Hotels,Holiday Flats,,,,,
Shops & Amenities,Home Entertainment,,,,,
Health & Beauty,Hospitals,,,,,
Hotels,Hostels,,,,,
Shops & Amenities,Hotel Reservations,,,,,
Hotels,Hotels - 3 Stars,,,,,
Hotels,Hotels - 4 Stars,,,,,
Hotels,Hotels - 5 Stars,,,,,
Hotels,Hotels - Others,,,,,
Home & Garden,Household Services,,,,,
Home & Garden,Household Stores,,,,,
Non Retail,Housing Association,,,,,
Home & Garden,Hydroponics,,,,,
Food & Drink,Ice Cream Parlours,,,,,
Events & Attractions,Ice Rinks,,,,,
Food & Drink,Indian Takeaway,1,,,,
Shops & Amenities,Indoor Markets,,,,,
Events & Attractions,Information Centre,,,,,
Shops & Amenities,Insurance Agents,,,,,
Home & Garden,Interior Design / Decoration,,,,,
Shops & Amenities,Internet Cafes,,,,,
Home & Garden,Ironmongers,,,,,
Shops & Amenities,Jewellers,,,,,
Shops & Amenities,Job Centres,,,,,
Home & Garden,Joiners,,,,,
Food & Drink,Juice Bars,,,,,
Events & Attractions,Karting,,,,,
Clothes & Fashion,Kilt Shops,,,,,
Home & Garden,Kitchen Planners,,,,,
Home & Garden,Kitchenware,,,,,
Clothes & Fashion,Knitwear & Textiles,,,,,
Home & Garden,Landscape Gardeners,,,,,
Shops & Amenities,Language Schools,,,,,
Health & Beauty,Laser Eye Treatment,,,,,
Shops & Amenities,Laundries & Launderettes,,,,,
Clothes & Fashion,Leather Goods,,,,,
Shops & Amenities,Leather Merchants & Wholesalers,,,,,
Shops & Amenities,Left Luggage,,,,,
Health & Beauty,Leisure Centres & Swimming Baths,,,,,1
Clothes & Fashion,Leisure Wear,,,,,
Home & Garden,Letting Agents,,,,,
Shops & Amenities,Libraries,,,,,
Home & Garden,Lighting Retailers,,,,,
Home & Garden,Linen Shops,,,,,
Clothes & Fashion,Lingerie & Hosiery,,,,,
Shops & Amenities,Livery Companies,,,,,
Home & Garden,Locksmiths,,,,,
"Pubs, Bars & Clubs",Lounge Bars,,,,,
Shops & Amenities,Luggage Shops,,,,,
Shops & Amenities,Mail Order & Catalogue Showrooms,,,,,
Taxis & Transport,Mainline Stations,,,,,
Shops & Amenities,"Maps, Charts & Globes",,,,,
Health & Beauty,Martial Arts Instruction,,,,,
Clothes & Fashion,Maternity Wear,,,,,
Health & Beauty,Medical Centres,,,,,
